Неделя,ДР,Имя сервера,Номер,Показатель,Myhome,Спутник
12,ДЦР,АРХ,"2,1",Количество подъездов за период,0,0
12,ДЦР,АРХ,"2,2",Количество квартир в подъездах за период,0,0
12,ДЦР,АРХ,"2,3",Количество голосов ЗА в подъездах за период,0,0
12,ДЦР,АРХ,"2,4",Количество контактов в подъездах за период,0,0
12,ДЦР,АРХ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
12,ДЦР,АРХ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
12,ДЦР,АРХ,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДЦР,АРХ,"3,4",Всего ключей в подъездах за период,0,0
12,ДЦР,АРХ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
12,ДЦР,АРХ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
12,ДЦР,АРХ,"4,1",Соглашений БСУД в подъездах за период,0,0
12,ДЦР,СПБ,"1,1",Количество подъездов М2 (на начало),20,0
12,ДЦР,СПБ,"1,2",Количество квартир в подъездах М2 (на начало),713,0
12,ДЦР,СПБ,"1,3",Количество абонентов БСУД (на начало),117,0
12,ДЦР,СПБ,"1,3.1",Количество соглашений БСУД (на начало),112,112
12,ДЦР,СПБ,"1,3,2",Количество абонентов ДМС (на начало),6,6
12,ДЦР,СПБ,"1,4",Потенциал М2 (на начало),7299,7299
12,ДЦР,СПБ,"2,1",Количество подъездов за период,1,0
12,ДЦР,СПБ,"2,2",Количество квартир в подъездах за период,36,0
12,ДЦР,СПБ,"2,3",Количество голосов ЗА в подъездах за период,0,0
12,ДЦР,СПБ,"2,4",Количество контактов в подъездах за период,0,0
12,ДЦР,СПБ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
12,ДЦР,СПБ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
12,ДЦР,СПБ,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДЦР,СПБ,"3,4",Всего ключей в подъездах за период,0,0
12,ДЦР,СПБ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,12,0
12,ДЦР,СПБ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,3,0
12,ДЦР,СПБ,"4,1",Соглашений БСУД в подъездах за период,2,0
12,ДЦР,ННВ,"1,1",Количество подъездов М2 (на начало),373,0
12,ДЦР,ННВ,"1,2",Количество квартир в подъездах М2 (на начало),17175,0
12,ДЦР,ННВ,"1,3",Количество абонентов БСУД (на начало),1353,0
12,ДЦР,ННВ,"1,3.1",Количество соглашений БСУД (на начало),1500,1500
12,ДЦР,ННВ,"1,3,2",Количество абонентов ДМС (на начало),937,937
